inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_ground-1.yml                                                                                                                         unknown                          0.08        0.08  apollon022
array-examples/data_structures_set_multi_proc_ground-2.yml                                                                                                                         unknown                          0.11        0.11  apollon150
array-examples/data_structures_set_multi_proc_trivial_ground.yml                                                                                                                   unknown                          0.09        0.09  apollon129
array-examples/relax-2-2.yml                                                                                                                                                       unknown                          0.12        0.11  apollon086
array-examples/sanfoundry_02_ground.yml                                                                                                                                            unknown                         28.34       28.36  apollon067
array-examples/sanfoundry_10_ground.yml                                                                                                                                            TIMEOUT                        900.28      900.21  apollon082
array-examples/sanfoundry_24-1.yml                                                                                                                                                 true                             0.12        0.12  apollon151
array-examples/sanfoundry_27_ground.yml                                                                                                                                            true                            50.25       50.27  apollon004
array-examples/sanfoundry_43_ground.yml                                                                                                                                            unknown                          0.07        0.07  apollon038
array-examples/sorting_bubblesort_2_ground.yml                                                                                                                                     TIMEOUT                        900.28      900.29  apollon067
array-examples/sorting_bubblesort_ground-1.yml                                                                                                                                     TIMEOUT                        900.27      900.46  apollon059
array-examples/sorting_bubblesort_ground-2.yml                                                                                                                                     TIMEOUT                        900.28      900.28  apollon077
array-examples/sorting_selectionsort_2_ground.yml                                                                                                                                  TIMEOUT                        900.42      900.57  apollon052
array-examples/sorting_selectionsort_ground-1.yml                                                                                                                                  TIMEOUT                        900.46      900.20  apollon113
array-examples/sorting_selectionsort_ground-2.yml                                                                                                                                  TIMEOUT                        900.49      900.22  apollon139
array-examples/standard_allDiff2_ground.yml                                                                                                                                        unknown                         57.50       57.51  apollon020
array-examples/standard_compareModified_ground.yml                                                                                                                                 TIMEOUT                        900.29      900.23  apollon156
array-examples/standard_compare_ground.yml                                                                                                                                         TIMEOUT                        900.26      900.56  apollon149
array-examples/standard_copy1_ground-1.yml                                                                                                                                         true                            39.70       39.69  apollon103
array-examples/standard_copy1_ground-2.yml                                                                                                                                         TIMEOUT                        900.26      900.22  apollon039
array-examples/standard_copy2_ground-1.yml                                                                                                                                         TIMEOUT                        900.29      900.26  apollon041
array-examples/standard_copy2_ground-2.yml                                                                                                                                         TIMEOUT                        900.52      900.20  apollon162
array-examples/standard_copy3_ground-1.yml                                                                                                                                         TIMEOUT                        900.36      900.53  apollon028
array-examples/standard_copy3_ground-2.yml                                                                                                                                         TIMEOUT                        900.27      900.24  apollon163
array-examples/standard_copy4_ground-1.yml                                                                                                                                         TIMEOUT                        900.25      900.63  apollon069
array-examples/standard_copy4_ground-2.yml                                                                                                                                         TIMEOUT                        900.28      900.20  apollon007
array-examples/standard_copy5_ground-1.yml                                                                                                                                         TIMEOUT                        900.26      900.29  apollon061
array-examples/standard_copy5_ground-2.yml                                                                                                                                         TIMEOUT                        900.29      900.22  apollon137
array-examples/standard_copy6_ground-1.yml                                                                                                                                         TIMEOUT                        900.28      900.42  apollon154
array-examples/standard_copy6_ground-2.yml                                                                                                                                         TIMEOUT                        900.28      900.20  apollon092
array-examples/standard_copy7_ground-1.yml                                                                                                                                         TIMEOUT                        900.28      900.42  apollon007
array-examples/standard_copy7_ground-2.yml                                                                                                                                         TIMEOUT                        900.26      900.37  apollon108
array-examples/standard_copy8_ground-1.yml                                                                                                                                         TIMEOUT                        900.27      900.28  apollon009
array-examples/standard_copy8_ground-2.yml                                                                                                                                         TIMEOUT                        900.31      900.21  apollon167
array-examples/standard_copy9_ground-1.yml                                                                                                                                         TIMEOUT                        900.25      900.48  apollon167
