inputfile,status,cpu_time,wall_time,host
xcsp/CostasArray-11.yml,false(unreach-call),10.0,9.98,apollon144
hardness-nfm22/hardness_loopvsstraightlinecode_100-while_file-96.yml,true,10.0,10.0,apollon135
aws-c-common/aws_linked_list_front_harness_negated.yml,true,10.04,10.04,apollon166
product-lines/minepump_spec1_product47.cil.yml,true,10.1,10.1,apollon028
hardness-nfm22/hardness_operatoramount_amount100_file-21.yml,true,10.12,10.12,apollon073
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_61_good.yml,true,10.13,10.12,apollon121
hardware-verification-bv/btor2c-lazyMod.driving_phils.5.prop1-func-interl.yml,false(unreach-call),10.23,10.22,apollon148
hardness-nfm22/hardness_fillercode_fillercodestructure_filler-ps-cn_file-47.yml,true,10.29,10.28,apollon093
hardness-nfm22/hardness_operatoramount_amount250_file-63.yml,true,10.36,10.37,apollon058
list-simple/dll2c_remove_all_reverse.yml,true,10.37,10.36,apollon033
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_32_good.yml,true,10.37,10.36,apollon021
nla-digbench-scaling/mannadiv_unwindbound5.yml,true,10.39,10.39,apollon164
list-simple/sll2c_remove_all.yml,true,10.41,10.4,apollon126
hardness-nfm22/hardness_loopvsstraightlinecode_25-1loop_file-65.yml,true,10.42,10.42,apollon134
hardness-nfm22/hardness_fillercode_fillercodesize_ps-cn-250_file-7.yml,true,10.46,10.45,apollon026
Juliet_Test/CWE190_Integer_Overflow__int_rand_square_34_good.yml,true,10.46,10.45,apollon034
hardness-nfm22/hardness_loopvsstraightlinecode_100-1loop_file-73.yml,true,10.47,10.47,apollon153
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_34_good.yml,true,10.5,10.5,apollon147
Juliet_Test/CWE190_Integer_Overflow__int_max_square_09_good.yml,true,10.51,10.5,apollon054
nla-digbench-scaling/cohendiv-ll_valuebound2.yml,true,10.54,10.54,apollon124
hardness-nfm22/hardness_operatoramount_amount250_file-18.yml,true,10.58,10.58,apollon080
product-lines/minepump_spec2_product51.cil.yml,true,10.62,10.61,apollon115
hardness-nfm22/hardness_loopvsstraightlinecode_50-1loop_file-47.yml,true,10.62,10.61,apollon093
termination-crafted/LexIndexValue-Array-1.yml,true,10.63,10.63,apollon136
Juliet_Test/CWE190_Integer_Overflow__int_max_square_05_good.yml,true,10.65,10.65,apollon096
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_53_good.yml,true,10.67,10.66,apollon118
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_31_good.yml,true,10.67,10.67,apollon150
list-simple/sll2c_remove_all.yml,true,10.68,10.68,apollon119
hardware-verification-bv/btor2c-lazyMod.driving_phils.3.prop1-func-interl.yml,false(unreach-call),10.69,10.67,apollon082
list-simple/sll2n_append_unequal.yml,true,10.7,10.7,apollon065
Juliet_Test/CWE190_Integer_Overflow__int_rand_square_64_good.yml,true,10.74,10.74,apollon016
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_52_good.yml,true,10.75,10.75,apollon076
nla-digbench-scaling/ps4-ll_valuebound1.yml,true,10.77,10.77,apollon019
product-lines/minepump_spec2_product59.cil.yml,true,10.77,10.77,apollon078
loop-lit/gj2007.yml,true,10.78,10.77,apollon082
seq-mthreaded/pals_STARTPALS_Triplicated.1.ufo.BOUNDED-10.pals.yml,true,10.8,5.41,apollon132
nla-digbench-scaling/prodbin-ll_valuebound5.yml,true,10.82,10.82,apollon006
product-lines/minepump_spec2_product40.cil.yml,true,10.91,10.9,apollon016
hardness-nfm22/hardness_operatoramount_amount25_file-65.yml,true,10.93,10.93,apollon054
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-40.yml,true,10.96,10.96,apollon063
hardness-nfm22/hardness_loopvsstraightlinecode_100-while_file-73.yml,true,10.97,10.96,apollon038
product-lines/minepump_spec2_product47.cil.yml,true,10.98,10.98,apollon113
hardness-nfm22/hardness_loopvsstraightlinecode_25-while_file-8.yml,true,10.99,10.99,apollon115
product-lines/minepump_spec2_product56.cil.yml,true,11.0,11.0,apollon135
list-simple/dll2c_insert_unequal.yml,true,11.01,11.01,apollon035
product-lines/minepump_spec2_product34.cil.yml,false(unreach-call),11.04,11.02,apollon031
product-lines/minepump_spec2_product50.cil.yml,true,11.08,11.08,apollon122
product-lines/minepump_spec2_product48.cil.yml,true,11.1,11.1,apollon168
product-lines/minepump_spec2_product52.cil.yml,true,11.13,11.13,apollon134
product-lines/minepump_spec2_product64.cil.yml,true,11.15,11.15,apollon157
Juliet_Test/CWE190_Integer_Overflow__int_rand_square_44_good.yml,true,11.18,11.17,apollon018
hardness-nfm22/hardness_operatoramount_amount100_file-73.yml,true,11.2,11.2,apollon116
product-lines/email_spec0_product10.cil.yml,true,11.23,5.66,apollon016
product-lines/minepump_spec2_product58.cil.yml,true,11.26,11.26,apollon036
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_64_good.yml,true,11.3,11.29,apollon089
Juliet_Test/CWE190_Integer_Overflow__int_fscanf_square_63_good.yml,true,11.33,11.32,apollon103
hardness-nfm22/hardness_fillercode_fillercodestructure_filler-ps-co_file-0.yml,true,11.4,11.39,apollon076
hardware-verification-bv/btor2c-lazyMod.sw_ball2004_1.yml,true,11.44,11.43,apollon035
list-simple/sll2n_append_equal.yml,true,11.53,11.53,apollon127
Juliet_Test/CWE190_Integer_Overflow__int_rand_square_65_good.yml,true,11.53,11.52,apollon076
seq-mthreaded/pals_lcr.8.ufo.BOUNDED-16.pals.yml,true,11.54,5.8,apollon044
hardness-nfm22/hardness_fillercode_fillercodestructure_filler-pe-ci_file-3.yml,true,11.56,11.57,apollon022
memsafety/test-0521.yml,true,11.6,11.6,apollon142
hardware-verification-bv/btor2c-lazyMod.cal181.yml,true,11.6,11.6,apollon151
hardness-nfm22/hardness_loopvsstraightlinecode_50-while_file-54.yml,true,11.62,11.61,apollon149
nla-digbench-scaling/hard-u_valuebound50.yml,true,11.62,11.61,apollon056
Juliet_Test/CWE190_Integer_Overflow__int_rand_square_68_good.yml,true,11.64,11.63,apollon050
array-multidimensional/init-4-n-u.yml,true,11.73,11.73,apollon044
hardness-nfm22/hardness_operatoramount_amount250_file-98.yml,true,11.8,11.8,apollon074
list-simple/dll2c_insert_equal.yml,true,11.85,11.84,apollon162
hardness-nfm22/hardness_fillercode_fillercodesize_ps-cn-25_file-3.yml,true,11.94,11.94,apollon041
product-lines/minepump_spec2_product60.cil.yml,true,11.95,11.95,apollon008
product-lines/minepump_spec2_product54.cil.yml,true,11.98,11.97,apollon023
hardness-nfm22/hardness_codestructure_normal_file-35.yml,true,11.98,11.98,apollon166
product-lines/minepump_spec2_product36.cil.yml,false(unreach-call),12.0,11.98,apollon031
