inputfile,status,cpu_time,wall_time,host
termination-restricted-15/PastaA4.yml,true,0.07,0.07,apollon112
termination-restricted-15/Ex07.yml,true,0.07,0.07,apollon030
termination-crafted/Parallel.yml,true,0.07,0.07,apollon082
loop-zilu/benchmark43_conjunctive.yml,true,0.07,0.07,apollon035
loop-zilu/benchmark02_linear.yml,true,0.07,0.07,apollon156
loop-zilu/benchmark05_conjunctive.yml,true,0.07,0.07,apollon034
termination-restricted-15/NO_21.yml,true,0.07,0.07,apollon035
termination-restricted-15/NO_02.yml,true,0.07,0.07,apollon151
termination-restricted-15/MirrorIntervSim.yml,true,0.07,0.07,apollon030
termination-crafted-lit/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction.yml,true,0.07,0.07,apollon115
termination-restricted-15/ConvLower.yml,true,0.07,0.07,apollon063
termination-crafted/easy1.yml,true,0.07,0.07,apollon142
loop-simple/nested_1.yml,true,0.07,0.07,apollon029
loop-simple/nested_1b.yml,true,0.07,0.07,apollon083
termination-restricted-15/NO_22.yml,true,0.07,0.07,apollon103
termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.01.yml,true,0.07,0.07,apollon044
loop-zilu/benchmark32_linear.yml,true,0.07,0.06,apollon161
loop-invariants/linear-inequality-inv-a.yml,true,0.07,0.07,apollon026
termination-restricted-15/PastaA7.yml,true,0.07,0.07,apollon003
termination-crafted/WhileTrue.yml,true,0.07,0.07,apollon103
termination-restricted-15/b.04.yml,true,0.07,0.07,apollon128
termination-restricted-15/WhilePart.yml,true,0.07,0.07,apollon076
termination-restricted-15/PastaB1.yml,true,0.07,0.07,apollon101
loop-zilu/benchmark11_linear.yml,true,0.07,0.06,apollon107
loop-zilu/benchmark33_linear.yml,true,0.07,0.07,apollon042
loop-zilu/benchmark35_linear.yml,true,0.07,0.07,apollon093
termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig3.yml,true,0.07,0.07,apollon071
termination-crafted/Waldkirch.yml,true,0.07,0.07,apollon147
termination-crafted/WhileFalse.yml,true,0.07,0.07,apollon065
termination-restricted-15/c.07.yml,true,0.07,0.07,apollon130
