inputfile,status,cpu_time,wall_time,host
array-examples/data_structures_set_multi_proc_ground-1.yml,ERROR (42),875.74,875.07,apollon146
array-examples/data_structures_set_multi_proc_ground-2.yml,ERROR (42),875.48,875.06,apollon119
array-examples/data_structures_set_multi_proc_trivial_ground.yml,true,253.47,253.56,apollon118
array-examples/relax-2-2.yml,OUT OF MEMORY,386.58,386.62,apollon126
array-examples/sanfoundry_02_ground.yml,ERROR (42),874.97,875.07,apollon069
array-examples/sanfoundry_10_ground.yml,ERROR (42),874.95,875.06,apollon156
array-examples/sanfoundry_24-1.yml,OUT OF MEMORY,108.1,107.2,apollon117
array-examples/sanfoundry_27_ground.yml,OUT OF MEMORY,116.5,115.62,apollon085
array-examples/sanfoundry_43_ground.yml,true,141.36,141.3,apollon167
array-examples/sorting_bubblesort_2_ground.yml,OUT OF MEMORY,400.03,399.33,apollon120
array-examples/sorting_bubblesort_ground-1.yml,OUT OF MEMORY,404.48,403.71,apollon147
array-examples/sorting_bubblesort_ground-2.yml,OUT OF MEMORY,400.89,400.23,apollon134
array-examples/sorting_selectionsort_2_ground.yml,OUT OF MEMORY,301.02,300.23,apollon140
array-examples/sorting_selectionsort_ground-1.yml,OUT OF MEMORY,357.03,356.29,apollon068
array-examples/sorting_selectionsort_ground-2.yml,OUT OF MEMORY,313.46,312.72,apollon085
array-examples/standard_allDiff2_ground.yml,OUT OF MEMORY,378.45,378.08,apollon133
array-examples/standard_compareModified_ground.yml,OUT OF MEMORY,154.84,154.14,apollon105
array-examples/standard_compare_ground.yml,OUT OF MEMORY,108.21,107.51,apollon086
array-examples/standard_copy1_ground-1.yml,OUT OF MEMORY,89.34,88.59,apollon092
array-examples/standard_copy1_ground-2.yml,OUT OF MEMORY,100.77,99.96,apollon119
array-examples/standard_copy2_ground-1.yml,OUT OF MEMORY,112.44,111.72,apollon077
array-examples/standard_copy2_ground-2.yml,OUT OF MEMORY,102.85,102.1,apollon123
array-examples/standard_copy3_ground-1.yml,OUT OF MEMORY,116.48,115.78,apollon068
array-examples/standard_copy3_ground-2.yml,OUT OF MEMORY,127.31,126.56,apollon066
array-examples/standard_copy4_ground-1.yml,OUT OF MEMORY,137.47,136.68,apollon135
array-examples/standard_copy4_ground-2.yml,OUT OF MEMORY,140.92,140.17,apollon081
array-examples/standard_copy5_ground-1.yml,OUT OF MEMORY,187.82,187.04,apollon145
array-examples/standard_copy5_ground-2.yml,OUT OF MEMORY,153.66,152.91,apollon128
array-examples/standard_copy6_ground-1.yml,OUT OF MEMORY,167.86,167.09,apollon090
array-examples/standard_copy6_ground-2.yml,OUT OF MEMORY,152.66,151.92,apollon064
array-examples/standard_copy7_ground-1.yml,OUT OF MEMORY,185.21,184.43,apollon081
array-examples/standard_copy7_ground-2.yml,OUT OF MEMORY,209.35,208.51,apollon161
array-examples/standard_copy8_ground-1.yml,OUT OF MEMORY,185.38,184.72,apollon099
array-examples/standard_copy8_ground-2.yml,OUT OF MEMORY,192.46,191.71,apollon062
array-examples/standard_copy9_ground-1.yml,OUT OF MEMORY,222.18,221.53,apollon109
array-examples/standard_copy9_ground-2.yml,OUT OF MEMORY,231.89,231.13,apollon098
array-examples/standard_copyInitSum2_ground-1.yml,OUT OF MEMORY,94.86,94.12,apollon142
array-examples/standard_copyInitSum2_ground-2.yml,OUT OF MEMORY,120.39,119.47,apollon074
array-examples/standard_copyInitSum3_ground.yml,OUT OF MEMORY,110.01,109.28,apollon125
array-examples/standard_copyInitSum_ground.yml,OUT OF MEMORY,120.84,119.94,apollon074
array-examples/standard_copyInit_ground.yml,OUT OF MEMORY,77.52,76.74,apollon133
array-examples/standard_find_ground-1.yml,ERROR (42),875.54,875.06,apollon142
array-examples/standard_init1_ground-1.yml,OUT OF MEMORY,64.1,63.28,apollon069
array-examples/standard_init1_ground-2.yml,OUT OF MEMORY,61.98,61.25,apollon103
array-examples/standard_init2_ground-1.yml,OUT OF MEMORY,72.41,71.67,apollon061
array-examples/standard_init2_ground-2.yml,OUT OF MEMORY,77.48,76.73,apollon084
array-examples/standard_init3_ground-1.yml,OUT OF MEMORY,93.62,92.61,apollon167
array-examples/standard_init3_ground-2.yml,OUT OF MEMORY,85.59,84.83,apollon133
array-examples/standard_init4_ground-1.yml,OUT OF MEMORY,95.52,94.78,apollon077
array-examples/standard_init4_ground-2.yml,OUT OF MEMORY,96.9,96.14,apollon070
array-examples/standard_init5_ground-1.yml,OUT OF MEMORY,106.84,106.04,apollon140
array-examples/standard_init5_ground-2.yml,OUT OF MEMORY,106.82,106.07,apollon072
array-examples/standard_init6_ground-1.yml,OUT OF MEMORY,119.61,118.86,apollon067
array-examples/standard_init6_ground-2.yml,OUT OF MEMORY,124.72,123.99,apollon157
array-examples/standard_init7_ground-1.yml,OUT OF MEMORY,129.44,128.56,apollon167
array-examples/standard_init7_ground-2.yml,OUT OF MEMORY,164.94,163.98,apollon125
array-examples/standard_init8_ground-1.yml,OUT OF MEMORY,142.73,141.99,apollon071
array-examples/standard_init8_ground-2.yml,OUT OF MEMORY,137.83,137.05,apollon060
array-examples/standard_init9_ground-1.yml,OUT OF MEMORY,151.14,150.28,apollon095
array-examples/standard_init9_ground-2.yml,OUT OF MEMORY,146.32,145.58,apollon127
array-examples/standard_maxInArray_ground.yml,OUT OF MEMORY,92.27,91.57,apollon140
array-examples/standard_minInArray_ground-1.yml,OUT OF MEMORY,97.15,96.37,apollon105
array-examples/standard_minInArray_ground-2.yml,OUT OF MEMORY,94.58,93.82,apollon128
array-examples/standard_palindrome_ground.yml,OUT OF MEMORY,85.7,84.79,apollon127
array-examples/standard_partial_init_ground.yml,ERROR (42),875.09,875.06,apollon125
array-examples/standard_partition_ground-1.yml,ERROR (42),875.41,875.06,apollon116
array-examples/standard_partition_ground-2.yml,ERROR (42),875.43,875.06,apollon119
array-examples/standard_partition_original_ground.yml,ERROR (42),875.5,875.06,apollon081
array-examples/standard_password_ground.yml,OUT OF MEMORY,119.58,118.8,apollon065
array-examples/standard_reverse_ground.yml,OUT OF MEMORY,99.74,98.96,apollon084
array-examples/standard_running-1.yml,OUT OF MEMORY,114.52,113.77,apollon107
array-examples/standard_running-2.yml,OUT OF MEMORY,121.29,120.37,apollon159
array-examples/standard_sentinel-2.yml,OUT OF MEMORY,867.77,868.13,apollon058
array-examples/standard_sentinel.i.v+cfa-reducer.yml,OUT OF MEMORY,856.62,856.7,apollon163
array-examples/standard_seq_init_ground.yml,OUT OF MEMORY,77.17,76.43,apollon159
array-examples/standard_strcmp_ground.yml,ERROR (42),875.36,875.06,apollon086
array-examples/standard_strcpy_ground-1.yml,ERROR (42),875.0,875.06,apollon143
array-examples/standard_strcpy_original-2.yml,ERROR (42),875.4,875.06,apollon090
array-examples/standard_two_index_01.yml,OUT OF MEMORY,33.29,32.48,apollon103
array-examples/standard_two_index_02.yml,OUT OF MEMORY,73.37,72.65,apollon122
array-examples/standard_two_index_03.yml,OUT OF MEMORY,27.97,27.12,apollon164
array-examples/standard_two_index_04.yml,OUT OF MEMORY,56.2,55.46,apollon166
array-examples/standard_two_index_05.yml,OUT OF MEMORY,55.74,54.99,apollon111
array-examples/standard_two_index_06.yml,OUT OF MEMORY,25.5,24.75,apollon093
array-examples/standard_two_index_07.yml,OUT OF MEMORY,53.71,52.84,apollon131
array-examples/standard_two_index_08.yml,OUT OF MEMORY,54.26,53.51,apollon059
array-examples/standard_two_index_09.yml,OUT OF MEMORY,47.79,47.04,apollon107
array-examples/standard_vararg_ground.yml,ERROR (42),875.04,875.06,apollon123
array-examples/standard_vector_difference_ground.yml,OUT OF MEMORY,114.47,113.7,apollon083
array-industry-pattern/array_assert_loop_dep.yml,OUT OF MEMORY,75.17,74.42,apollon065
array-industry-pattern/array_monotonic.yml,OUT OF MEMORY,208.42,208.46,apollon076
array-industry-pattern/array_mul_init.yml,OUT OF MEMORY,152.58,151.86,apollon112
array-industry-pattern/array_of_struct_break.yml,OUT OF MEMORY,85.06,84.29,apollon146
array-industry-pattern/array_of_struct_loop_dep.yml,OUT OF MEMORY,83.31,82.54,apollon117
array-industry-pattern/array_of_struct_ptr_cond_init.yml,ERROR (42),874.93,875.06,apollon132
array-industry-pattern/array_of_struct_ptr_flag_init.yml,ERROR (42),875.18,875.06,apollon074
array-industry-pattern/array_of_struct_ptr_monotonic.yml,ERROR (42),875.07,875.06,apollon106
array-industry-pattern/array_of_struct_ptr_mul_init.yml,OUT OF MEMORY,173.74,173.11,apollon130
array-industry-pattern/array_of_struct_single_elem_init.yml,OUT OF MEMORY,156.76,156.0,apollon089
array-industry-pattern/array_ptr_partial_init.yml,ERROR (42),875.0,875.05,apollon065
array-industry-pattern/array_ptr_single_elem_init-1.yml,ERROR (42),874.84,875.07,apollon166
array-industry-pattern/array_ptr_single_elem_init-2.yml,OUT OF MEMORY,271.45,270.82,apollon102
array-industry-pattern/array_range_init.yml,OUT OF MEMORY,68.51,67.76,apollon152
array-industry-pattern/array_shadowinit.yml,OUT OF MEMORY,434.31,434.31,apollon108
array-industry-pattern/array_single_elem_init.yml,OUT OF MEMORY,281.53,281.58,apollon109
array-industry-pattern/check_removal_from_set_after_insertion.yml,ERROR (42),875.54,875.07,apollon139
reducercommutativity/avg05-1.yml,true,48.16,48.16,apollon107
reducercommutativity/avg10-2.yml,true,735.62,735.87,apollon156
reducercommutativity/avg20-2.yml,ERROR (42),875.05,875.06,apollon093
reducercommutativity/avg40-2.yml,ERROR (42),875.07,875.06,apollon086
reducercommutativity/avg60-1.yml,ERROR (42),875.08,875.06,apollon100
reducercommutativity/max.yml,ERROR (42),875.07,875.06,apollon145
reducercommutativity/max05-1.yml,true,1.45,1.44,apollon080
reducercommutativity/max10-1.yml,true,49.47,49.47,apollon112
reducercommutativity/max20-1.yml,ERROR (42),874.66,875.06,apollon128
reducercommutativity/max40-1.yml,ERROR (42),874.96,875.06,apollon067
reducercommutativity/max60-2.yml,ERROR (42),875.07,875.07,apollon113
reducercommutativity/rangesum.yml,false(unreach-call),0.38,0.36,apollon158
reducercommutativity/rangesum05.yml,false(unreach-call),0.18,0.16,apollon126
reducercommutativity/rangesum10.yml,false(unreach-call),0.23,0.21,apollon095
reducercommutativity/rangesum20.yml,false(unreach-call),0.85,0.83,apollon150
reducercommutativity/rangesum40.yml,false(unreach-call),1.34,1.32,apollon088
reducercommutativity/rangesum60.yml,false(unreach-call),1.9,1.88,apollon168
reducercommutativity/sep.yml,ERROR (139),415.11,415.19,apollon096
reducercommutativity/sep05-1.yml,true,0.28,0.27,apollon117
reducercommutativity/sep10-2.yml,true,0.72,0.71,apollon078
reducercommutativity/sep20-1.yml,true,4.54,4.53,apollon126
reducercommutativity/sep40-1.yml,true,31.45,31.45,apollon158
reducercommutativity/sep60-2.yml,true,163.52,163.68,apollon148
reducercommutativity/sum05-2.yml,true,4.43,4.42,apollon075
reducercommutativity/sum10-1.yml,true,133.68,133.71,apollon127
reducercommutativity/sum20-2.yml,ERROR (42),874.69,875.06,apollon143
reducercommutativity/sum40-2.yml,ERROR (42),875.01,875.07,apollon085
reducercommutativity/sum60-2.yml,ERROR (42),874.92,875.06,apollon106
array-tiling/mbpr2.yml,OUT OF MEMORY,78.33,78.32,apollon158
array-tiling/mbpr3.yml,OUT OF MEMORY,137.06,136.27,apollon163
array-tiling/mbpr4.yml,OUT OF MEMORY,176.26,175.49,apollon123
array-tiling/mbpr5.yml,OUT OF MEMORY,436.01,435.23,apollon165
array-tiling/mlceu.yml,OUT OF MEMORY,820.1,820.37,apollon156
array-tiling/mlceu2.yml,OUT OF MEMORY,481.64,481.68,apollon071
array-tiling/nr2.yml,OUT OF MEMORY,155.77,155.78,apollon102
array-tiling/nr3.yml,OUT OF MEMORY,65.22,64.39,apollon086
array-tiling/nr4.yml,OUT OF MEMORY,75.17,74.45,apollon131
